configuration,reference_character,hypothesis_character,count
surya/processed,అ,క,1
surya/processed,వ,ా,1
surya/processed,జ,హ,1
surya/processed,ద,హ,1
surya/processed,ో,త,1
surya/processed,ీ,య,1
surya/processed,గ,ే,1
surya/processed,ీ,ల,1
surya/processed,ా,ణ,1
surya/processed,ూ,మ,1
surya/processed,క,౬,1
surya/processed,ి,౬,1
surya/processed,ై,వ,1
surya/processed,మ,ీ,1
surya/processed,్,స,1
surya/processed,త,ౌ,1
surya/processed,ె,ొ,1
surya/processed,ప,ణ,1
surya/processed,న,డ,1
surya/processed,డ,ు,1
surya/processed,క,య,1
surya/processed,చ,ే,1
surya/processed,ఒ,బ,1
surya/processed,డ,వ,1
surya/processed,ి,మ,1
surya/processed,ం,శ,1
surya/processed,శ,్,1
surya/processed,భ,క,1
surya/processed,ఏ,ే,1
surya/processed,స,ే,1
surya/processed,న,ే,1
surya/processed,జ,ం,1
surya/processed,ి,ె,1
surya/processed,య,గ,1
surya/processed,గ,చ,1
surya/processed,ఊ,ో,1
surya/processed,క,౮,1
surya/processed,వ,ం,1
surya/processed,ి,ౌ,1
surya/processed,ప,బ,1
surya/processed,ద,గ,1
surya/processed,ష,ల,1
surya/processed,చ,ర,1
surya/processed,ద,క,1
surya/processed,ధ,ష,1
surya/processed,చ,ప,1
surya/processed,ం,ఠ,1
surya/processed,్,శ,1
surya/processed,మ,్,1
surya/processed,వ,థ,1
surya/processed,గ,ి,1
surya/processed,ల,య,1
surya/processed,జ,ె,1
surya/processed,ల,ం,1
surya/processed,న,ట,1
surya/processed,ా,గ,1
surya/processed,అ,ల,1
surya/processed,త,ధ,1
surya/processed,శ,వ,1
surya/processed,ఖ,ా,1
surya/processed,హ,ం,1
surya/processed,య,ఆ,1
surya/processed,త,ఫ,1
tesseract/raw,చ,వ,1
tesseract/raw,ల,ే,1
tesseract/raw,న,ం,1
tesseract/raw,చ,న,1
tesseract/raw,త,వ,1
tesseract/raw,్,ె,1
tesseract/raw,ఆ,ీ,1
tesseract/raw,ఊ,ీ,1
tesseract/raw,హ,ట,1
tesseract/raw,ి,ౌ,1
tesseract/raw,న,ర,1
tesseract/raw,జ,్,1
tesseract/raw,గ,ో,1
tesseract/raw,్,గ,1
tesseract/raw,జ,ల,1
tesseract/raw,ప,ే,1
tesseract/raw,థ,ర,1
tesseract/raw,ా,‌,1
tesseract/raw,ల,క,1
tesseract/raw,ు,్,1
tesseract/raw,ర,జ,1
tesseract/raw,ఉ,ే,1
tesseract/raw,న,మ,1
tesseract/raw,బ,ౌ,1
tesseract/raw,య,ా,1
tesseract/raw,ణ,థ,1
tesseract/raw,ర, ,1
tesseract/raw,థ,ో,1
tesseract/raw,ణ,ై,1
tesseract/raw,శ,ే,1
tesseract/raw,త,‌,1
tesseract/raw,చ,్,1
tesseract/raw,ి,బ,1
tesseract/raw,ద,చ,1
tesseract/raw,ట,ి,1
tesseract/raw,క,హ,1
tesseract/raw,ి,ై,1
tesseract/raw,చ,బ,1
tesseract/raw,ర,ఎ,1
tesseract/raw,ర,ె,1
tesseract/raw,ధ,థ,1
tesseract/raw,ద,వ,1
tesseract/raw,మ,వ,1
tesseract/raw,వ,ఘ,1
tesseract/raw,ఉ,ఊ,1
tesseract/raw,య,త,1
tesseract/raw,ం,ా,1
tesseract/raw,అ,ట,1
tesseract/raw,ద,ో,1
tesseract/raw,గ,్,1
tesseract/raw,ణ,త,1
tesseract/raw,చ,త,1
tesseract/raw,త,ో,1
tesseract/raw,ు,ో,1
tesseract/raw,ప,బ,1
tesseract/raw,ే,థ,1
tesseract/raw,ధ,ఠ,1
tesseract/raw,ద,ే,1
tesseract/raw,క,శ,1
tesseract/raw,ప,ఘ,1
tesseract/raw,ఉ,ి,1
tesseract/raw,భ,ణ,1
tesseract/raw,ే,ీ,1
tesseract/raw,ణ,శ,1
tesseract/raw,అ,ల,1
tesseract/raw,ప,ర,1
tesseract/raw,త,ర,1
tesseract/raw,ర,హ,1
tesseract/raw,ే,ౌ,1
tesseract/raw,వ,ూ,1
tesseract/raw,బ,ు,1
tesseract/raw,ఆ,ి,1
tesseract/raw,శ,స,1
tesseract/raw,వ,ే,1
tesseract/raw,న,ా,1
tesseract/raw,ట,క,1
tesseract/raw,ె,ద,1
tesseract/raw,ద,ీ,1
tesseract/raw,స,త,1
tesseract/raw,ద, ,1
tesseract/raw,ీ,బ,1
tesseract/raw,్,క,1
tesseract/raw,ష,ే,1
tesseract/raw,చ, ,1
tesseract/raw,ై,ద,1
tesseract/raw,జ,ే,1
tesseract/raw,శ,వ,1
tesseract/raw,ద,బ,1
tesseract/raw,్,ీ,1
tesseract/raw,త,ీ,1
tesseract/raw,స,చ,1
tesseract/raw,ం, ,1
tesseract/raw,హ,్,1
tesseract/raw,ృ,ర,1
tesseract/raw,ా,ఎ,1
tesseract/raw,ప,డ,1
tesseract/raw,ర,వ,1
tesseract/raw,ష,డ,1
tesseract/raw,ధ,౦,1
tesseract/raw,ల,ధ,1
tesseract/raw,య,గ,1
tesseract/raw,ల,ఖ,1
tesseract/raw,స,ల,1
tesseract/raw,త,బ,1
tesseract/raw,త,ొ,1
tesseract/raw,ర,న,1
tesseract/raw,చ,మ,1
tesseract/raw,డ,గ,1
tesseract/raw,ట,వ,1
tesseract/raw,మ,డ,1
tesseract/raw,అ,త,1
tesseract/raw,వ, ,1
tesseract/raw,త, ,1
tesseract/raw,క,ీ,1
tesseract/raw,త,ు,1
tesseract/raw,న,ీ,1
tesseract/raw,ీ,ొ,1
tesseract/raw,ళ,త,1
tesseract/raw,ర,స,1
tesseract/raw,ప,క,1
tesseract/raw,క,ఫ,1
tesseract/raw,ా,ు,1
tesseract/raw,ద,ల,1
tesseract/raw,ఇ,ృ,1
tesseract/raw,ొ,ో,1
tesseract/raw,భ,ట,1
tesseract/raw,క,ఠ,1
tesseract/raw,వ,ీ,1
tesseract/raw,ం,హ,1
tesseract/raw,బ,ో,1
tesseract/raw,డ,్,1
tesseract/raw,ర,్,1
tesseract/raw,ట,ే,1
tesseract/raw,ల,ి,1
tesseract/raw,ం,ఇ,1
tesseract/raw,బ,భ,1
tesseract/raw,ి,మ,1
tesseract/raw,జ,వ,1
tesseract/raw,ధ, ,1
tesseract/raw,మ,గ,1
tesseract/raw,భ,్,1
tesseract/raw,ి,గ,1
tesseract/raw,క,ప,1
tesseract/raw,వ,ట,1
tesseract/raw,క,వ,1
tesseract/raw,్,ల,1
tesseract/raw,త,థ,1
tesseract/raw,ం,౦,1
tesseract/raw,య,న,1
tesseract/raw,ో,్,1
tesseract/raw,న,య,1
tesseract/raw,ు,ూ,1
tesseract/raw,డ,వ,1
tesseract/raw,్,ణ,1
tesseract/raw,ీ, ,1
tesseract/raw,డ,ే,1
tesseract/raw,ర,ఆ,1
tesseract/raw,జ,గ,1
tesseract/raw,ె,ర,1
tesseract/raw,న,ు,1
tesseract/raw,ి,అ,1
tesseract/raw,ఒ,బ,1
tesseract/raw,బ,న,1
tesseract/raw,ొ,జ,1
tesseract/raw,ే,భ,1
tesseract/raw,ప,ో,1
tesseract/raw,్,ట,1
tesseract/raw,ప, ,1
tesseract/raw,ర,మ,1
tesseract/raw,ా,ై,1
tesseract/raw,త,క,1
tesseract/raw,ల,ు,1
tesseract/raw,ఏ,ై,1
tesseract/raw,ొ,ల,1
tesseract/raw,త,ూ,1
tesseract/raw,ై,స,1
tesseract/raw,ల,భ,1
tesseract/raw,య,ర,1
tesseract/raw,ఆ,ల,1
tesseract/raw,ర,ొ,1
tesseract/raw,ా,డ,1
tesseract/raw,య,ి,1
tesseract/raw,మ,న,1
tesseract/raw,డ,ట,1
tesseract/raw,ొ,ా,1
tesseract/raw,ఐ,మ,1
tesseract/raw,ట,్,1
tesseract/raw,ీ,డ,1
tesseract/raw,ష,్,1
tesseract/raw,ట,ల,1
tesseract/raw,ే,ొ,1
tesseract/raw,ప,గ,1
tesseract/raw,ో,ి,1
tesseract/raw,డ,ు,1
tesseract/raw,శ,చ,1
tesseract/raw,య,ీ,1
tesseract/raw,మ,హ,1
tesseract/raw,జ,ట,1
tesseract/raw,బ,మ,1
tesseract/raw,్,బ,1
tesseract/raw,ు,ప,1
tesseract/raw,జ,త,1
tesseract/raw,న,ణ,1
tesseract/raw,ప,ఫ,1
tesseract/raw,స,్,1
tesseract/raw,థ,ే,1
tesseract/raw,ఇ,భ,1
tesseract/raw,ధ,క,1
tesseract/raw,న,ఖ,1
tesseract/raw,ప,హ,1
tesseract/raw,ూ,ో,1
tesseract/raw,ణ,ు,1
tesseract/raw,ఒ,మ,1
tesseract/raw,క,ట,1
tesseract/raw,న,ద,1
tesseract/raw,ై,‌,1
tesseract/raw,జ,౭,1
tesseract/raw,ప,న,1
tesseract/raw,ృ,గ,1
tesseract/raw,త,్,1
tesseract/raw,య,ే,1
tesseract/raw,స,ా,1
tesseract/raw,మ,ు,1
tesseract/raw,వ,స,1
tesseract/raw,ట,ీ,1
tesseract/raw,ు,క,1
tesseract/raw,ళ,ు,1
tesseract/raw,ఇ,గ,1
tesseract/raw,ళ,డ,1
tesseract/raw,బ,జ,1
tesseract/raw,ే,త,1
tesseract/raw,ద,ర,1
tesseract/raw,ద,న,1
tesseract/raw,ే,ా,1
tesseract/raw,చ,ణ,1
tesseract/raw,ి,ా,1
tesseract/raw,ణ,ల,1
tesseract/raw,ప,జ,1
tesseract/raw,డ,ం,1
tesseract/raw,ప,య,1
tesseract/raw,ే,ల,1
tesseract/raw,ఆ,ట,1
tesseract/raw,హ,వ,1
tesseract/raw,ో,ొ,1
tesseract/raw,భ,గ,1
tesseract/raw,ప,మ,1
tesseract/raw,ై,ా,1
tesseract/raw,ి,ఎ,1
tesseract/raw,ా,య,1
tesseract/raw,క,్,1
tesseract/raw,న,త,1
tesseract/raw,క,గ,1
tesseract/raw,వ,ం,1
tesseract/raw,ు,డ,1
tesseract/raw,ప,ూ,1
tesseract/raw,ష,త,1
tesseract/raw,ు,‌,1
tesseract/processed,్,ఉ,1
tesseract/processed,భ,ు,1
tesseract/processed,ొ,గ,1
tesseract/processed,న,ఆ,1
tesseract/processed,ధ,ద,1
tesseract/processed,ఊ,ీ,1
tesseract/processed,హ,ప,1
tesseract/processed,హ, ,1
tesseract/processed,ఇ,న,1
tesseract/processed,వ,ఠ,1
tesseract/processed,ం,ి,1
tesseract/processed,ఉ,ో,1
tesseract/processed,ఖ,ి,1
tesseract/processed,ధ,జ,1
tesseract/processed,థ,ర,1
tesseract/processed,ష,ల,1
tesseract/processed,ల,డ,1
tesseract/processed,ె,బ,1
tesseract/processed,క,హ,1
tesseract/processed,ొ,య,1
tesseract/processed,వ,ౌ,1
tesseract/processed,్,ఫ,1
tesseract/processed,క,ో,1
tesseract/processed,ౌ,ి,1
tesseract/processed,ప,శ,1
tesseract/processed,ం,ు,1
tesseract/processed,ప,ం,1
tesseract/processed,ి,ఠ,1
tesseract/processed,న,౭,1
tesseract/processed,ా,౧,1
tesseract/processed,ణ,ి,1
tesseract/processed,ి,హ,1
tesseract/processed,ృ,బ,1
tesseract/processed,శ,ో,1
tesseract/processed,ో,బ,1
tesseract/processed,ే,ె,1
tesseract/processed,ొ,ి,1
tesseract/processed,ల,ష,1
tesseract/processed,ా,అ,1
tesseract/processed,ు,ష,1
tesseract/processed,బ,గ,1
tesseract/processed,ప,ఉ,1
tesseract/processed,ల,ొ,1
tesseract/processed,ం,ె,1
tesseract/processed,చ,ప,1
tesseract/processed,ీ,ి,1
tesseract/processed,ం,జ,1
tesseract/processed,ర,ఎ,1
tesseract/processed,్,జ,1
tesseract/processed,జ,ర,1
tesseract/processed,ద,స,1
tesseract/processed,అ,ు,1
tesseract/processed,ణ,ు,1
tesseract/processed,ై,ి,1
tesseract/processed,ీ,స,1
tesseract/processed,స,్,1
tesseract/processed,ె,‌,1
tesseract/processed,య,మ,1
tesseract/processed,ీ,ం,1
tesseract/processed,ప,ె,1
tesseract/processed,ొ,ఠ,1
tesseract/processed,ప,ఖ,1
tesseract/processed,ా,థ,1
tesseract/processed,వ,ో,1
tesseract/processed,ు,ఫ,1
tesseract/processed,ఫ,ట,1
tesseract/processed,క,ష,1
tesseract/processed,జ,బ,1
tesseract/processed,ద,వ,1
tesseract/processed,ఉ,ి,1
tesseract/processed,భ,ర,1
tesseract/processed,్,ధ,1
tesseract/processed,ర,థ,1
tesseract/processed,ె,ఫ,1
tesseract/processed,ధ,ల,1
tesseract/processed,ణ,థ,1
tesseract/processed,ీ,డ,1
tesseract/processed,అ,ప,1
tesseract/processed,శ,స,1
tesseract/processed,ి,చ,1
tesseract/processed,ర,౦,1
tesseract/processed,క,ఫ,1
tesseract/processed,శ,య,1
tesseract/processed,ై,శ,1
tesseract/processed,ం,డ,1
tesseract/processed,డ,ె,1
tesseract/processed,గ,ో,1
tesseract/processed,జ,య,1
tesseract/processed,ే,ఖ,1
tesseract/processed,శ,ే,1
tesseract/processed,వ,ూ,1
tesseract/processed,ీ,ఏ,1
tesseract/processed,ై,థ,1
tesseract/processed,్,ళ,1
tesseract/processed,ం,గ,1
tesseract/processed,ొ,ద,1
tesseract/processed,ే,గ,1
tesseract/processed,శ,ృ,1
tesseract/processed,ఫ,ా,1
tesseract/processed,ె,ర,1
tesseract/processed,ష,ప,1
tesseract/processed,వ,ఫ,1
tesseract/processed,న,ో,1
tesseract/processed,ప,ో,1
tesseract/processed,ఓ,ీ,1
tesseract/processed,భ,స,1
tesseract/processed,ీ,ొ,1
tesseract/processed,ో,ే,1
tesseract/processed,స,ో,1
tesseract/processed,్,ణ,1
tesseract/processed,త,స,1
tesseract/processed,ం,ో,1
tesseract/processed,త,ధ,1
tesseract/processed,భ, ,1
tesseract/processed,క,ం,1
tesseract/processed,ప,ొ,1
tesseract/processed,జ,స,1
tesseract/processed,ు,ద,1
tesseract/processed,ె,గ,1
tesseract/processed,ె,త,1
tesseract/processed,ో,ష,1
tesseract/processed,ో,వ,1
tesseract/processed,శ,వ,1
tesseract/processed,ఖ,జ,1
tesseract/processed,ు,స,1
tesseract/processed,ి,ఖ,1
tesseract/processed,స,డ,1
tesseract/processed,ఇ,య,1
tesseract/processed,త,థ,1
tesseract/processed,భ,ఆ,1
tesseract/processed,ల,ఇ,1
tesseract/processed,ర,ధ,1
tesseract/processed,్,ప,1
tesseract/processed,న,ొ,1
tesseract/processed,ీ,న,1
tesseract/processed,డ,న,1
tesseract/processed,ఎ,వ,1
tesseract/processed,ర,ీ,1
tesseract/processed,ు,౦,1
tesseract/processed,ళ,హ,1
tesseract/processed,ద,ధ,1
tesseract/processed,౪,‌,1
tesseract/processed,ట,శ,1
tesseract/processed,ప,ై,1
tesseract/processed,ొ,ౌ,1
tesseract/processed,శ,గ,1
tesseract/processed,ం,ీ,1
tesseract/processed,శ,ళ,1
tesseract/processed,మ,ూ,1
tesseract/processed,ీ,గ,1
tesseract/processed,య,ి,1
tesseract/processed,బ,ట,1
tesseract/processed,వ,ి,1
tesseract/processed,బ,త,1
tesseract/processed,డ,ణ,1
tesseract/processed,ం,ఇ,1
tesseract/processed,ల,ధ,1
tesseract/processed,జ,ప,1
tesseract/processed,థ,ౌ,1
tesseract/processed,భ,ధ,1
tesseract/processed,మ,ధ,1
tesseract/processed,జ,ఫ,1
tesseract/processed,ు,థ,1
tesseract/processed,ఉ,స,1
tesseract/processed,డ,గ,1
tesseract/processed,భ,క,1
tesseract/processed,ష,డ,1
tesseract/processed,వ,థ,1
tesseract/processed,మ,హ,1
tesseract/processed,ల,హ,1
tesseract/processed,ఫ,వ,1
tesseract/processed,న,ూ,1
tesseract/processed,ల,భ,1
tesseract/processed,గ,ి,1
tesseract/processed,ప,ల,1
tesseract/processed,గ,ణ,1
tesseract/processed,థ,్,1
tesseract/processed,య,ా,1
tesseract/processed,ే,మ,1
tesseract/processed,్,వ,1
tesseract/processed,ఖ,శ,1
tesseract/processed,వ,శ,1
tesseract/processed,డ,‌,1
tesseract/processed,్,౧,1
tesseract/processed,య,౦,1
tesseract/processed,చ,క,1
tesseract/processed,ం,ట,1
tesseract/processed,జ,ఆ,1
tesseract/processed,ె,న,1
tesseract/processed,ీ,ె,1
tesseract/processed,ల,ఠ,1
tesseract/processed,త,ు,1
tesseract/processed,వ,ద,1
tesseract/processed,ె,ీ,1
tesseract/processed,ొ,ు,1
tesseract/processed,స,ీ,1
tesseract/processed,ొ,ీ,1
tesseract/processed,ర,చ,1
tesseract/processed,న,ే,1
tesseract/processed,ఘ,త,1
tesseract/processed,ో,ఇ,1
tesseract/processed,ు,ఏ,1
tesseract/processed,క,ీ,1
tesseract/processed,థ, ,1
tesseract/processed,ఎ,బ,1
tesseract/processed,్,మ,1
tesseract/processed,య,ే,1
tesseract/processed,మ,న,1
tesseract/processed,్,ఢ,1
tesseract/processed,ద,్,1
tesseract/processed,ి,౧,1
tesseract/processed,వ,త,1
tesseract/processed,త,భ,1
tesseract/processed,య,ూ,1
tesseract/processed,ై,ో,1
tesseract/processed,హ,య,1
tesseract/processed,ు,గ,1
tesseract/processed,ర,ఢ,1
tesseract/processed,మ,౧,1
tesseract/processed,ొ,ా,1
tesseract/processed,ొ,ప,1
tesseract/processed,అ,త,1
tesseract/processed,హ,ౌ,1
tesseract/processed,ా,బ,1
tesseract/processed,త,శ,1
tesseract/processed,య,ట,1
tesseract/processed,స,ఎ,1
tesseract/processed,మ,గ,1
tesseract/processed,య,్,1
tesseract/processed,ం,‌,1
tesseract/processed,్,ఘ,1
tesseract/processed,త,ూ,1
tesseract/processed,౮,‌,1
tesseract/processed,ం,౨,1
tesseract/processed,ల,క,1
tesseract/processed,ష,ా,1
tesseract/processed,ఠ,న,1
tesseract/processed,ణ,గ,1
tesseract/processed,ి,థ,1
tesseract/processed,ప,ఫ,1
tesseract/processed,ా,ె,1
tesseract/processed,ణ,క,1
tesseract/processed,ు,భ,1
tesseract/processed,ం,ొ,1
tesseract/processed,ి,ఓ,1
tesseract/processed,ి,ళ,1
tesseract/processed,ష,్,1
tesseract/processed,ఔ,ర,1
tesseract/processed,స,ొ,1
tesseract/processed,ళ,క,1
tesseract/processed,ా,ీ,1
tesseract/processed,బ,ూ,1
tesseract/processed,ె,ఆ,1
tesseract/processed,ల,థ,1
tesseract/processed,ప,అ,1
tesseract/processed,ె,ం,1
tesseract/processed,త,క,1
tesseract/processed,గ,వ,1
tesseract/processed,ఇ,ో,1
tesseract/processed,ి,క,1
tesseract/processed,హ,్,1
tesseract/processed,అ,చ,1
tesseract/processed,శ,ప,1
tesseract/processed,ీ,క,1
tesseract/processed,బ,న,1
tesseract/processed,గ,డ,1
tesseract/processed,చ,౬,1
tesseract/processed,ద,ఠ,1
tesseract/processed,ఉ,ె,1
tesseract/processed,్,బ,1
tesseract/processed,ు,బ,1
tesseract/processed,ర,అ,1
tesseract/processed,ో,క,1
tesseract/processed,ద,ా,1
tesseract/processed,ల,వ,1
tesseract/processed,ప,ఓ,1
tesseract/processed,ద,క,1
tesseract/processed,క,శ,1
tesseract/processed,క,ట,1
tesseract/processed,శ,ష,1
tesseract/processed,ో,డ,1
tesseract/processed,స,ె,1
tesseract/processed,ఆ,ఉ,1
tesseract/processed,డ,క,1
tesseract/processed,హ,క,1
tesseract/processed,మ,ొ,1
tesseract/processed,ొ,క,1
tesseract/processed,ే,త,1
tesseract/processed,ప,క,1
tesseract/processed,డ,ప,1
tesseract/processed,ర,ఉ,1
tesseract/processed,ద,జ,1
tesseract/processed,ో,ం,1
tesseract/processed,ఖ,మ,1
tesseract/processed,శ,్,1
tesseract/processed,మ,చ,1
tesseract/processed,జ,ట,1
tesseract/processed,జ,త,1
tesseract/processed,క,ప,1
tesseract/processed,చ,ఒ,1
tesseract/processed,జ,ె,1
tesseract/processed,హ,ు,1
tesseract/processed,ృ,ం,1
tesseract/processed,మ,ా,1
tesseract/processed,జ, ,1
tesseract/processed,ధ,స,1
tesseract/processed,థ,ృ,1
tesseract/processed,ి,౭,1
tesseract/processed,క,ె,1
tesseract/processed,గ,ౌ,1
tesseract/processed,ా,ఆ,1
tesseract/processed,ా,య,1
tesseract/processed,్,క,1
tesseract/processed,బ,మ,1
tesseract/processed,చ,ూ,1
tesseract/processed,హ,త,1
tesseract/processed,ు,వ,1
tesseract/processed,ఇ,ి,1
tesseract/processed,న,బ,1
tesseract/processed,ఉ,ు,1
tesseract/processed,ర,ౌ,1
tesseract/processed,వ,భ,1
tesseract/processed,భ,ో,1
tesseract/processed,ౌ, ,1
tesseract/processed,ణ,ష,1
tesseract/processed,ొ, ,1
tesseract/processed,క,ఠ,1
tesseract/processed,ద,ం,1
tesseract/processed,థ,ధ,1
tesseract/processed,క,౩,1
tesseract/processed,ె, ,1
tesseract/processed,భ,బ,1
tesseract/processed,ళ,ల,1
tesseract/processed,ె,ా,1
tesseract/processed,ణ,త,1
tesseract/processed,ం,క,1
tesseract/processed,ద,ష,1
tesseract/processed,ః,వ,1
tesseract/processed,బ,ి,1
tesseract/processed,ధ,య,1
tesseract/processed,న,థ,1
tesseract/processed,ష,క,1
tesseract/processed,హ,చ,1
tesseract/processed,ఆ,వ,1
tesseract/processed,హ,న,1
tesseract/processed,ల,ట,1
tesseract/processed,ధ,అ,1
tesseract/processed,ో,ద,1
tesseract/processed,మ,జ,1
tesseract/processed,భ,౭,1
tesseract/processed,ూ,ం,1
tesseract/processed,్,అ,1
tesseract/processed,ద,థ,1
tesseract/processed,ద,ఉ,1
tesseract/processed,థ,డ,1
tesseract/processed,ప,త,1
tesseract/processed,త,మ,1
tesseract/processed,జ,ౌ,1
tesseract/processed,౪,౭,1
tesseract/processed,జ,క,1
tesseract/processed,ే,ఆ,1
tesseract/processed,ీ,ఆ,1
tesseract/processed,ధ,ఢ,1
tesseract/processed,ో,ల,1
tesseract/processed,ై,స,1
tesseract/processed,ు,ై,1
tesseract/processed,న,త,1
tesseract/processed,జ,౭,1
tesseract/processed,య,౧,1
tesseract/processed,ి,డ,1
tesseract/processed,డ,చ,1
tesseract/processed,ల,౧,1
tesseract/processed,ద,త,1
tesseract/processed,ల,ె,1
tesseract/processed,మ,ఇ,1
tesseract/processed,ఏ,డ,1
tesseract/processed,ై,ె,1
tesseract/processed,ఫ,స,1
tesseract/processed,బ,ఒ,1
tesseract/processed,ా,భ,1
tesseract/processed,ధ,భ,1
tesseract/processed,చ,౧,1
tesseract/processed,ే,౦,1
tesseract/processed,ప,చ,1
tesseract/processed,ా,శ,1
tesseract/processed,ం,ద,1
tesseract/processed,ం,ా,1
tesseract/processed,్,శ,1
tesseract/processed,ా,ణ,1
tesseract/processed,జ,ు,1
tesseract/processed,జ,‌,1
tesseract/processed,ే,్,1
tesseract/processed,క,ణ,1
tesseract/processed,ధ,న,1
tesseract/processed,గ,ద,1
tesseract/processed,ు,చ,1
tesseract/processed,ఊ,బ,1
tesseract/processed,చ,౭,1
tesseract/processed,ా,ట,1
tesseract/processed,మ,త,1
tesseract/processed,ల,ూ,1
tesseract/processed,స,౧,1
tesseract/processed,్,౦,1
tesseract/processed,ూ,౧,1
tesseract/processed,శ, ,1
tesseract/processed,ె,య,1
tesseract/processed,ల,ౌ,1
tesseract/processed,త,ో,1
tesseract/processed,చ,త,1
tesseract/processed,ే,య,1
tesseract/processed,గ,శ,1
tesseract/processed,ట,‌,1
tesseract/processed,చ,ె,1
tesseract/processed,ద,ై,1
tesseract/processed,డ,ి,1
tesseract/processed,ధ,ణ,1
tesseract/processed,ే,చ,1
tesseract/processed,ు,క,1
tesseract/processed,ె,ల,1
tesseract/processed,ి,౮,1
tesseract/processed,ఖ,ం,1
tesseract/processed,న,భ,1
